Date,ID,Candidato,Text,Sentiment,Particip
19/03/24,1.20E+18,XG," Ya empiezan a trabajar para meter dinero del narco a la campana de Xochitl, ahora seran los amigos de Luna y Calderon, o los amigos de Taboada, total al PRIAN lo que le sobra son Carteles",0,0
19/03/24,1.49E+18,XG, En un encuentro con miembros de la Xochitl Galvez pidio a los empresarios de esa agrupacion separarse por dos meses de sus empresas para hacer campana y convencer a sus empleados a inclinarse a su favor. ,0,0
19/03/24,1.38E+18,XG, Xochitl no recibe dinero del INE Y de donde saco para comprar su autobus,0,0
19/03/24,1.48E+18,XG," Estos somos los que estamos convencidos de que es la mejor opcion y los que creemos que si hay de otra y los que QUEREMOS un Mexico para todos, pero como dijo Gabriel GonzalezMolina, los que definen la eleccion no entienden lo que Xochitl ofrece...",2,0
19/03/24,1.62E+18,XG," No sean pndejos. es CIUDADANIA, no partidos politicos. Xochitl representa a los ciudadanos, a los que consumimos y vamos por sus productos. No les hagan caso a los chairos mugrosos que critican y ni toman cafe. Por cierto, los vasos estan XINGONES",0,1
19/03/24,1.76E+18,XG, jajajjajajaa todo mundo te desconoce XOCHITL ,0,0
19/03/24,7.57E+17,XG," otra marca plagiada, una mas de la mitomana Xochitl Galvez, CUANTAS MAS PAPU , CUANTAS MAS ",0,0
19/03/24,1.27E+18,XG, A trabajar cabrones huevones de mierda. No me caia bien la Xochitl pero si dice que les va a quitar el pan de la boca a sus inutiles familias de mierda pues ahi si ya llama la atencion.,0,0
19/03/24,1.50E+18,XG," Este pendej,o y un frento,n que no recuerdo su nombre se van a quedar con el hocic,o callado en unos meses mas Claudia Sheinbaum arrasara a Xochitl Galvez",0,0
19/03/24,1.30E+18,XG, Se desmarca de la campana de y la dinamica un cafe sin miedo ,1,0
19/03/24,1.46E+18,XG, Directo a Palacio Nacional ,1,0
19/03/24,9.49E+17,XG,Nunca confio en Reforma. Aunque te veo atragantado por un sapo muy dificil que tragues. Acaso no le llego el dinero que le deben dar por apoyar a Se solidario y coopera con Xochitl desde pesitos ,0,0
19/03/24,1.46E+18,XG," El dinero lo tienen los partidos, no Xochitl . aclaro que no era mi candidato, pero la mayoria la eligio , asi que tendra todo mi apoyo, ha eso nos comprometimos .",1,0
19/03/24,1.74E+18,XG,"Seguimos transmitiendo la conferencia de Xochitl Galvez, aun estan hablando los invitados al podium. XochitlGalvezPresidenta ",1,0
19/03/24,1.49E+18,XG," Jajaja Dan pena ajena, Xochitl no sirve como candidata, porque estan a puntos por el cabezazo de sus coordinadores, sillas vacias, la Marina no sirve, Tijuana esta fea, despido de empleados en Cadereyta, por quitar pensiones universales a pensionados del IMSS E ISSTE. ",0,0
19/03/24,1.71E+18,XG," Es mas, ni Claudia, ni Xochitl, ni Maynez saben gobernar. Lo que si esta jodido, es que de esos valla a salir el proximo presidente. Lo triste es que vamos a tener otros anos de mierda, gane el candidatopartido que gane",0,1
